volume_percentile,max_touches,wick_ratio,volume_multiplier,ticker,days_checked,long_signals,short_signals,total_signals,signals_per_100_days
70,1,1.2,1.1,PLTR,250,0,0,0,0.0
70,1,1.2,1.2,PLTR,250,0,0,0,0.0
70,1,1.2,1.5,PLTR,250,0,0,0,0.0
70,1,1.5,1.1,PLTR,250,0,0,0,0.0
70,1,1.5,1.2,PLTR,250,0,0,0,0.0
70,1,1.5,1.5,PLTR,250,0,0,0,0.0
70,1,2.0,1.1,PLTR,250,0,0,0,0.0
70,1,2.0,1.2,PLTR,250,0,0,0,0.0
70,1,2.0,1.5,PLTR,250,0,0,0,0.0
70,2,1.2,1.1,PLTR,250,0,0,0,0.0
70,2,1.2,1.2,PLTR,250,0,0,0,0.0
70,2,1.2,1.5,PLTR,250,0,0,0,0.0
70,2,1.5,1.1,PLTR,250,0,0,0,0.0
70,2,1.5,1.2,PLTR,250,0,0,0,0.0
70,2,1.5,1.5,PLTR,250,0,0,0,0.0
70,2,2.0,1.1,PLTR,250,0,0,0,0.0
70,2,2.0,1.2,PLTR,250,0,0,0,0.0
70,2,2.0,1.5,PLTR,250,0,0,0,0.0
70,3,1.2,1.1,PLTR,250,0,0,0,0.0
70,3,1.2,1.2,PLTR,250,0,0,0,0.0
70,3,1.2,1.5,PLTR,250,0,0,0,0.0
70,3,1.5,1.1,PLTR,250,0,0,0,0.0
70,3,1.5,1.2,PLTR,250,0,0,0,0.0
70,3,1.5,1.5,PLTR,250,0,0,0,0.0
70,3,2.0,1.1,PLTR,250,0,0,0,0.0
70,3,2.0,1.2,PLTR,250,0,0,0,0.0
70,3,2.0,1.5,PLTR,250,0,0,0,0.0
80,1,1.2,1.1,PLTR,250,0,0,0,0.0
80,1,1.2,1.2,PLTR,250,0,0,0,0.0
80,1,1.2,1.5,PLTR,250,0,0,0,0.0
80,1,1.5,1.1,PLTR,250,0,0,0,0.0
80,1,1.5,1.2,PLTR,250,0,0,0,0.0
80,1,1.5,1.5,PLTR,250,0,0,0,0.0
80,1,2.0,1.1,PLTR,250,0,0,0,0.0
80,1,2.0,1.2,PLTR,250,0,0,0,0.0
80,1,2.0,1.5,PLTR,250,0,0,0,0.0
80,2,1.2,1.1,PLTR,250,0,0,0,0.0
80,2,1.2,1.2,PLTR,250,0,0,0,0.0
80,2,1.2,1.5,PLTR,250,0,0,0,0.0
80,2,1.5,1.1,PLTR,250,0,0,0,0.0
80,2,1.5,1.2,PLTR,250,0,0,0,0.0
80,2,1.5,1.5,PLTR,250,0,0,0,0.0
80,2,2.0,1.1,PLTR,250,0,0,0,0.0
80,2,2.0,1.2,PLTR,250,0,0,0,0.0
80,2,2.0,1.5,PLTR,250,0,0,0,0.0
80,3,1.2,1.1,PLTR,250,0,0,0,0.0
80,3,1.2,1.2,PLTR,250,0,0,0,0.0
80,3,1.2,1.5,PLTR,250,0,0,0,0.0
80,3,1.5,1.1,PLTR,250,0,0,0,0.0
80,3,1.5,1.2,PLTR,250,0,0,0,0.0
80,3,1.5,1.5,PLTR,250,0,0,0,0.0
80,3,2.0,1.1,PLTR,250,0,0,0,0.0
80,3,2.0,1.2,PLTR,250,0,0,0,0.0
80,3,2.0,1.5,PLTR,250,0,0,0,0.0
90,1,1.2,1.1,PLTR,250,0,0,0,0.0
90,1,1.2,1.2,PLTR,250,0,0,0,0.0
90,1,1.2,1.5,PLTR,250,0,0,0,0.0
90,1,1.5,1.1,PLTR,250,0,0,0,0.0
90,1,1.5,1.2,PLTR,250,0,0,0,0.0
90,1,1.5,1.5,PLTR,250,0,0,0,0.0
90,1,2.0,1.1,PLTR,250,0,0,0,0.0
90,1,2.0,1.2,PLTR,250,0,0,0,0.0
90,1,2.0,1.5,PLTR,250,0,0,0,0.0
90,2,1.2,1.1,PLTR,250,0,0,0,0.0
90,2,1.2,1.2,PLTR,250,0,0,0,0.0
90,2,1.2,1.5,PLTR,250,0,0,0,0.0
90,2,1.5,1.1,PLTR,250,0,0,0,0.0
90,2,1.5,1.2,PLTR,250,0,0,0,0.0
90,2,1.5,1.5,PLTR,250,0,0,0,0.0
90,2,2.0,1.1,PLTR,250,0,0,0,0.0
90,2,2.0,1.2,PLTR,250,0,0,0,0.0
90,2,2.0,1.5,PLTR,250,0,0,0,0.0
90,3,1.2,1.1,PLTR,250,0,0,0,0.0
